zip_code,city,admin1,admin2
"99553","Akutan","Alaska","Aleutians East"
"99571","Cold Bay","Alaska","Aleutians East"
"99583","False Pass","Alaska","Aleutians East"
"99612","King Cove","Alaska","Aleutians East"
"99661","Sand Point","Alaska","Aleutians East"
"99546","Adak","Alaska","Aleutians West (CA)"
"99547","Atka","Alaska","Aleutians West (CA)"
"99591","Saint George Island","Alaska","Aleutians West (CA)"
"99638","Nikolski","Alaska","Aleutians West (CA)"
"99660","Saint Paul Island","Alaska","Aleutians West (CA)"
"99685","Unalaska","Alaska","Aleutians West (CA)"
"99692","Dutch Harbor","Alaska","Aleutians West (CA)"
"99501","Anchorage","Alaska","Anchorage Municipality"
"99502","Anchorage","Alaska","Anchorage Municipality"
"99503","Anchorage","Alaska","Anchorage Municipality"
"99504","Anchorage","Alaska","Anchorage Municipality"
"99505","Jber","Alaska","Anchorage Municipality"
"99506","Jber","Alaska","Anchorage Municipality"
"99507","Anchorage","Alaska","Anchorage Municipality"
"99508","Anchorage","Alaska","Anchorage Municipality"
"99509","Anchorage","Alaska","Anchorage Municipality"
"99510","Anchorage","Alaska","Anchorage Municipality"
"99511","Anchorage","Alaska","Anchorage Municipality"
"99513","Anchorage","Alaska","Anchorage Municipality"
"99514","Anchorage","Alaska","Anchorage Municipality"
"99515","Anchorage","Alaska","Anchorage Municipality"
"99516","Anchorage","Alaska","Anchorage Municipality"
"99517","Anchorage","Alaska","Anchorage Municipality"
"99518","Anchorage","Alaska","Anchorage Municipality"
"99519","Anchorage","Alaska","Anchorage Municipality"
"99520","Anchorage","Alaska","Anchorage Municipality"
"99521","Anchorage","Alaska","Anchorage Municipality"
"99522","Anchorage","Alaska","Anchorage Municipality"
"99523","Anchorage","Alaska","Anchorage Municipality"
"99524","Anchorage","Alaska","Anchorage Municipality"
"99529","Anchorage","Alaska","Anchorage Municipality"
"99530","Anchorage","Alaska","Anchorage Municipality"
"99540","Indian","Alaska","Anchorage Municipality"
"99567","Chugiak","Alaska","Anchorage Municipality"
"99577","Eagle River","Alaska","Anchorage Municipality"
"99587","Girdwood","Alaska","Anchorage Municipality"
"99599","Anchorage","Alaska","Anchorage Municipality"
"99695","Anchorage","Alaska","Anchorage Municipality"
"99545","Kongiganak","Alaska","Bethel Census Area"
"99551","Akiachak","Alaska","Bethel Census Area"
"99552","Akiak","Alaska","Bethel Census Area"
"99557","Aniak","Alaska","Bethel Census Area"
"99559","Bethel","Alaska","Bethel Census Area"
"99561","Chefornak","Alaska","Bethel Census Area"
"99575","Crooked Creek","Alaska","Bethel Census Area"
"99578","Eek","Alaska","Bethel Census Area"
"99589","Goodnews Bay","Alaska","Bethel Census Area"
"99607","Kalskag","Alaska","Bethel Census Area"
"99609","Kasigluk","Alaska","Bethel Census Area"
"99614","Kipnuk","Alaska","Bethel Census Area"
"99621","Kwethluk","Alaska","Bethel Census Area"
"99622","Kwigillingok","Alaska","Bethel Census Area"
"99626","Lower Kalskag","Alaska","Bethel Census Area"
"99630","Mekoryuk","Alaska","Bethel Census Area"
"99634","Napakiak","Alaska","Bethel Census Area"
"99637","Toksook Bay","Alaska","Bethel Census Area"
"99641","Nunapitchuk","Alaska","Bethel Census Area"
"99651","Platinum","Alaska","Bethel Census Area"
"99655","Quinhagak","Alaska","Bethel Census Area"
"99656","Red Devil","Alaska","Bethel Census Area"
"99668","Sleetmute","Alaska","Bethel Census Area"
"99679","Tuluksak","Alaska","Bethel Census Area"
"99680","Tuntutuliak","Alaska","Bethel Census Area"
"99681","Tununak","Alaska","Bethel Census Area"
"99690","Nightmute","Alaska","Bethel Census Area"
"99613","King Salmon","Alaska","Bristol Bay"
"99633","Naknek","Alaska","Bristol Bay"
"99670","South Naknek","Alaska","Bristol Bay"
"99574","Cordova","Alaska","Chugach Census Area"
"99677","Tatitlek","Alaska","Chugach Census Area"
"99686","Valdez","Alaska","Chugach Census Area"
"99693","Whittier","Alaska","Chugach Census Area"
"99566","Chitina","Alaska","Copper River Census Area"
"99573","Copper Center","Alaska","Copper River Census Area"
"99586","Gakona","Alaska","Copper River Census Area"
"99588","Glennallen","Alaska","Copper River Census Area"
"99704","Clear","Alaska","Denali"
"99729","Cantwell","Alaska","Denali"
"99743","Healy","Alaska","Denali"
"99744","Anderson","Alaska","Denali"
"99755","Denali National Park","Alaska","Denali"
"99555","Aleknagik","Alaska","Dillingham (CA)"
"99569","Clarks Point","Alaska","Dillingham (CA)"
"99576","Dillingham","Alaska","Dillingham (CA)"
"99580","Ekwok","Alaska","Dillingham (CA)"
"99628","Manokotak","Alaska","Dillingham (CA)"
"99636","New Stuyahok","Alaska","Dillingham (CA)"
"99678","Togiak","Alaska","Dillingham (CA)"
"99701","Fairbanks","Alaska","Fairbanks North Star"
"99702","Eielson Afb","Alaska","Fairbanks North Star"
"99703","Fort Wainwright","Alaska","Fairbanks North Star"
"99705","North Pole","Alaska","Fairbanks North Star"
"99706","Fairbanks","Alaska","Fairbanks North Star"
"99707","Fairbanks","Alaska","Fairbanks North Star"
